Winter Winds	Mumford & Sons	RATED (mk4) 0886 <97> <= [100,81]
The Globalist	Muse	RATED (mk4) 0886 <97> <= [100,81]
Swallowed Up By The Ocean	Billy Talent	RATED (mk4) 0886 <97> <= [100,81]
Solstice	If These Trees Could Talk	RATED (mk4) 0886 <97> <= [100,81]
Punk Rock Song	Bad Religion	RATED (mk4) 0886 <97> <= [100,81]
Pearl Of The Stars	Coheed and Cambria	RATED (mk4) 0886 <97> <= [100,81]
Mothers of the Sun	Black Mountain	RATED (mk4) 0886 <97> <= [100,81]
Magna Carta	Jakob	RATED (mk4) 0886 <97> <= [100,81]
Cuts Marked In The March Of Men	Coheed and Cambria	RATED (mk4) 0886 <97> <= [100,81]
Contender	Marriages	RATED (mk4) 0886 <97> <= [100,81]
Akte VI	B R I Q U E V I L L E	RATED (mk4) 0886 <97> <= [100,81]
Deadman	Karnivool	RATED (mk4) 0886 <97> <= [100,78,88]
Tough Guy	Grails	RATED (mk4) 0884 <97> <= [100,85,83]
When Anger Shows	Editors	RATED (mk4) 0884 <97> <= [100,82,85]
Seance Room	God Is an Astronaut	RATED (mk4) 0884 <97> <= [83,92]
Gorecki	Lamb	RATED (mk4) 0882 <97> <= [84,91]
Face Of Melinda	Opeth	RATED (mk4) 0881 <97> <= [100,89,86,85]
Run Dry	Caspian	RATED (mk4) 0881 <97> <= [80,89,93,87]
Until Nothing Remains	Boysetsfire	RATED (mk4) 0880 <97> <= [100,80]
Unchained (Tales Of The Unexpected)	Anathema	RATED (mk4) 0880 <97> <= [100,80]
Twinkler	Baroness	RATED (mk4) 0880 <97> <= [100,80]
Stand and Feel Your Worth	Thrice	RATED (mk4) 0880 <97> <= [100,80]
Nostalgic for Guillotines	Boysetsfire	RATED (mk4) 0880 <97> <= [100,80]
Mladic	Godspeed You! Black Emperor	RATED (mk4) 0880 <97> <= [100,80]
Latter Day	Callisto	RATED (mk4) 0880 <97> <= [100,80]
Empty Room	Arcade Fire	RATED (mk4) 0880 <97> <= [100,80]
Darkfield	Caspian	RATED (mk4) 0880 <97> <= [100,80]
Atmosphere	Joy Division	RATED (mk4) 0880 <97> <= [100,80]
The Warmth	Incubus	RATED (mk4) 0880 <97> <= [88]
This Picture	Placebo	RATED (mk4) 0880 <97> <= [88]
The Spirit Lodge	Soup	RATED (mk4) 0880 <97> <= [88]
Spiders	System of a Down	RATED (mk4) 0880 <97> <= [88]
I Got a Fever	MOON	RATED (mk4) 0880 <97> <= [88]
Get Ready For Love	Nick Cave & The Bad Seeds	RATED (mk4) 0880 <97> <= [88]
Down With The Sickness	Disturbed	RATED (mk4) 0880 <97> <= [88]
The Bitter End	Placebo	RATED (mk4) 0880 <97> <= [88]
Ace Of Spades	Motörhead	RATED (mk4) 0880 <97> <= [88]
Go In	Warpaint	RATED (mk4) 0879 <97> <= [100,89,85,85]
Survive	Chelsea Wolfe	RATED (mk4) 0879 <97> <= [100,83,83]
Delicious	A Perfect Circle	RATED (mk4) 0879 <97> <= [87,84,91]
TalkTalk	A Perfect Circle	RATED (mk4) 0879 <97> <= [85,89,89]
The Way	The Butterfly Effect	RATED (mk4) 0878 <97> <= [80,93]
The Pot	Tool	RATED (mk4) 0876 <97> <= [93,84]
Addiction	Almighty	RATED (mk4) 0874 <97> <= [100,80,84]
Welcome, Ghosts	Explosions in the Sky	RATED (mk4) 0874 <97> <= [100,79]
Redesigned a Million Times	And So I Watch You From Afar	RATED (mk4) 0874 <97> <= [100,79]
Pretelethal	Coheed and Cambria	RATED (mk4) 0874 <97> <= [100,79]
Parabol	AMENRA	RATED (mk4) 0874 <97> <= [100,79]
An End Has A Start	Editors	RATED (mk4) 0874 <97> <= [100,79]
